year,country,continent,co2,co2_per_capita
2017,,,10000.0,133.33
2018,,,10000.0,133.33
2019,,,10000.0,133.33
2020,,,10000.0,133.33
1960,Germany,Europe,1000.0,20.0
1961,,,995.0,19.727
1962,,,990.0,19.454
1963,,,985.0,19.181
1964,,,980.0,18.908
1965,,,975.0,18.634999999999998
1966,,,970.0,18.362
1967,,,965.0,18.089
1968,,,960.0,17.816
1969,,,955.0,17.543
1970,Germany,Europe,950.0,17.27
1971,,,945.0,17.043
1972,,,940.0,16.816
1973,,,935.0,16.589
1974,,,930.0,16.362
1975,,,925.0,16.134999999999998
1976,,,920.0,15.908
1977,,,915.0,15.681
1978,,,910.0,15.454
1979,,,905.0,15.227
1980,Germany,Europe,900.0,15.0
1981,,,890.0,14.731
1982,,,880.0,14.462
1983,,,870.0,14.193
1984,,,860.0,13.924
1985,,,850.0,13.655000000000001
1986,,,840.0,13.386
1987,,,830.0,13.117
1988,,,820.0,12.848
1989,,,810.0,12.579
1990,Germany,Europe,800.0,12.31
1991,,,790.0,12.079
1992,,,780.0,11.848
1993,,,770.0,11.617
1994,,,760.0,11.386000000000001
1995,,,750.0,11.155000000000001
1996,,,740.0,10.924
1997,,,730.0,10.693
1998,,,720.0,10.462
1999,,,710.0,10.231
2000,Germany,Europe,700.0,10.0
2001,,,690.0,9.8
2002,,,680.0,9.6
2003,,,670.0,9.4
2004,,,660.0,9.2
2005,,,650.0,9.0
2006,,,640.0,8.8
2007,,,630.0,8.6
2008,,,620.0,8.4
2009,,,610.0,8.2
2010,Germany,Europe,600.0,8.0
2011,,,600.0,8.0
2012,,,600.0,8.0
2013,,,600.0,8.0
2014,,,600.0,8.0
2015,,,600.0,8.0
2016,,,600.0,8.0
2017,,,600.0,8.0
2018,,,600.0,8.0
2019,,,600.0,8.0
2020,,,600.0,8.0
1960,India,Asia,400.0,8.0
1961,,,420.0,8.291
1962,,,440.0,8.582
1963,,,460.0,8.873
1964,,,480.0,9.164
1965,,,500.0,9.455
1966,,,520.0,9.746
1967,,,540.0,10.037
1968,,,560.0,10.328
1969,,,580.0,10.619
1970,India,Asia,600.0,10.91
1971,,,620.0,11.152000000000001
1972,,,640.0,11.394
1973,,,660.0,11.636
1974,,,680.0,11.878
1975,,,700.0,12.120000000000001
1976,,,720.0,12.362
1977,,,740.0,12.604
1978,,,760.0,12.846
1979,,,780.0,13.088000000000001
1980,India,Asia,800.0,13.33
1981,,,840.0,13.843
1982,,,880.0,14.356
1983,,,920.0,14.869
1984,,,960.0,15.382000000000001
1985,,,1000.0,15.895
1986,,,1040.0,16.408
1987,,,1080.0,16.921
1988,,,1120.0,17.434
1989,,,1160.0,17.947000000000003
1990,India,Asia,1200.0,18.46
1991,,,1260.0,19.185000000000002
1992,,,1320.0,19.91
1993,,,1380.0,20.635
1994,,,1440.0,21.36
1995,,,1500.0,22.085
1996,,,1560.0,22.810000000000002
1997,,,1620.0,23.535
1998,,,1680.0,24.26
1999,,,1740.0,24.985
2000,India,Asia,1800.0,25.71
2001,,,1870.0,26.472
2002,,,1940.0,27.234
2003,,,2010.0,27.996000000000002
2004,,,2080.0,28.758
2005,,,2150.0,29.52
2006,,,2220.0,30.282
2007,,,2290.0,31.044
2008,,,2360.0,31.805999999999997
2009,,,2430.0,32.568
2010,India,Asia,2500.0,33.33
2011,,,2500.0,33.33
2012,,,2500.0,33.33
2013,,,2500.0,33.33
2014,,,2500.0,33.33
2015,,,2500.0,33.33
2016,,,2500.0,33.33
2017,,,2500.0,33.33
2018,,,2500.0,33.33
2019,,,2500.0,33.33
2020,,,2500.0,33.33
1960,Japan,Asia,900.0,18.0
1961,,,905.0,17.927
1962,,,910.0,17.854
1963,,,915.0,17.781
1964,,,920.0,17.708
1965,,,925.0,17.634999999999998
1966,,,930.0,17.562
1967,,,935.0,17.489
1968,,,940.0,17.416
1969,,,945.0,17.343
1970,Japan,Asia,950.0,17.27
1971,,,955.0,17.21
1972,,,960.0,17.15
1973,,,965.0,17.09
1974,,,970.0,17.03
1975,,,975.0,16.97
1976,,,980.0,16.91
1977,,,985.0,16.85
1978,,,990.0,16.790000000000003
1979,,,995.0,16.73
1980,Japan,Asia,1000.0,16.67
1981,,,1005.0,16.618000000000002
1982,,,1010.0,16.566000000000003
1983,,,1015.0,16.514
1984,,,1020.0,16.462
1985,,,1025.0,16.41
1986,,,1030.0,16.358
1987,,,1035.0,16.306
1988,,,1040.0,16.253999999999998
1989,,,1045.0,16.201999999999998
1990,Japan,Asia,1050.0,16.15
1991,,,1045.0,15.963999999999999
1992,,,1040.0,15.777999999999999
1993,,,1035.0,15.591999999999999
1994,,,1030.0,15.405999999999999
1995,,,1025.0,15.219999999999999
1996,,,1020.0,15.033999999999999
1997,,,1015.0,14.847999999999999
1998,,,1010.0,14.661999999999999
1999,,,1005.0,14.475999999999999
2000,Japan,Asia,1000.0,14.29
2001,,,995.0,14.128
2002,,,990.0,13.966
2003,,,985.0,13.803999999999998
2004,,,980.0,13.642
2005,,,975.0,13.48
2006,,,970.0,13.318
2007,,,965.0,13.155999999999999
2008,,,960.0,12.994
2009,,,955.0,12.832
2010,Japan,Asia,950.0,12.67
2011,,,950.0,12.67
2012,,,950.0,12.67
2013,,,950.0,12.67
2014,,,950.0,12.67
2015,,,950.0,12.67
2016,,,950.0,12.67
2017,,,950.0,12.67
2018,,,950.0,12.67
2019,,,950.0,12.67
2020,,,950.0,12.67
1960,Russia,Europe,1500.0,30.0
1961,,,1490.0,29.545
1962,,,1480.0,29.09
1963,,,1470.0,28.634999999999998
1964,,,1460.0,28.18
1965,,,1450.0,27.725
1966,,,1440.0,27.27
1967,,,1430.0,26.814999999999998
1968,,,1420.0,26.36
1969,,,1410.0,25.905
1970,Russia,Europe,1400.0,25.45
1971,,,1390.0,25.072
1972,,,1380.0,24.694
1973,,,1370.0,24.316
1974,,,1360.0,23.938
1975,,,1350.0,23.560000000000002
1976,,,1340.0,23.182000000000002
1977,,,1330.0,22.804000000000002
1978,,,1320.0,22.426000000000002
1979,,,1310.0,22.048000000000002
1980,Russia,Europe,1300.0,21.67
1981,,,1290.0,21.349
1982,,,1280.0,21.028000000000002
1983,,,1270.0,20.707
1984,,,1260.0,20.386000000000003
1985,,,1250.0,20.065
1986,,,1240.0,19.744
1987,,,1230.0,19.423000000000002
1988,,,1220.0,19.102
1989,,,1210.0,18.781000000000002
1990,Russia,Europe,1200.0,18.46
1991,,,1190.0,18.185000000000002
1992,,,1180.0,17.91
1993,,,1170.0,17.635
1994,,,1160.0,17.36
1995,,,1150.0,17.085
1996,,,1140.0,16.810000000000002
1997,,,1130.0,16.535
1998,,,1120.0,16.26
1999,,,1110.0,15.985000000000001
2000,Russia,Europe,1100.0,15.71
2001,,,1090.0,15.472000000000001
2002,,,1080.0,15.234
2003,,,1070.0,14.996
2004,,,1060.0,14.758000000000001
2005,,,1050.0,14.52
2006,,,1040.0,14.282
2007,,,1030.0,14.044
2008,,,1020.0,13.806000000000001
2009,,,1010.0,13.568
2010,Russia,Europe,1000.0,13.33
2011,,,1000.0,13.33
2012,,,1000.0,13.33
2013,,,1000.0,13.33
2014,,,1000.0,13.33
2015,,,1000.0,13.33
2016,,,1000.0,13.33
2017,,,1000.0,13.33
2018,,,1000.0,13.33
2019,,,1000.0,13.33
2020,,,1000.0,13.33
1960,South Africa,Africa,200.0,4.0
1961,,,210.0,4.145
1962,,,220.0,4.29
1963,,,230.0,4.4350000000000005
1964,,,240.0,4.58
1965,,,250.0,4.725
1966,,,260.0,4.87
1967,,,270.0,5.015000000000001
1968,,,280.0,5.16
1969,,,290.0,5.305
1970,South Africa,Africa,300.0,5.45
1971,,,310.0,5.572
1972,,,320.0,5.694
1973,,,330.0,5.816
1974,,,340.0,5.938
1975,,,350.0,6.0600000000000005
1976,,,360.0,6.182
1977,,,370.0,6.304
1978,,,380.0,6.426
1979,,,390.0,6.548
1980,South Africa,Africa,400.0,6.67
1981,,,405.0,6.695
1982,,,410.0,6.72
1983,,,415.0,6.745
1984,,,420.0,6.77
1985,,,425.0,6.795
1986,,,430.0,6.82
1987,,,435.0,6.845
1988,,,440.0,6.87
1989,,,445.0,6.895
1990,South Africa,Africa,450.0,6.92
1991,,,455.0,6.942
1992,,,460.0,6.9639999999999995
1993,,,465.0,6.986
1994,,,470.0,7.008
1995,,,475.0,7.029999999999999
1996,,,480.0,7.052
1997,,,485.0,7.074
1998,,,490.0,7.096
1999,,,495.0,7.117999999999999
2000,South Africa,Africa,500.0,7.14
2001,,,505.0,7.159
2002,,,510.0,7.178
2003,,,515.0,7.197
2004,,,520.0,7.216
2005,,,525.0,7.234999999999999
2006,,,530.0,7.254
2007,,,535.0,7.273
2008,,,540.0,7.292
2009,,,545.0,7.311
2010,South Africa,Africa,550.0,7.33
2011,,,550.0,7.33
2012,,,550.0,7.33
2013,,,550.0,7.33
2014,,,550.0,7.33
2015,,,550.0,7.33
2016,,,550.0,7.33
2017,,,550.0,7.33
2018,,,550.0,7.33
2019,,,550.0,7.33
2020,,,550.0,7.33
1960,United States,North America,5000.0,100.0
1961,,,4980.0,98.727
1962,,,4960.0,97.454
1963,,,4940.0,96.181
1964,,,4920.0,94.908
1965,,,4900.0,93.63499999999999
1966,,,4880.0,92.362
1967,,,4860.0,91.089
1968,,,4840.0,89.816
1969,,,4820.0,88.54299999999999
1970,United States,North America,4800.0,87.27
1971,,,4770.0,86.04299999999999
1972,,,4740.0,84.816
1973,,,4710.0,83.589
1974,,,4680.0,82.362
1975,,,4650.0,81.13499999999999
1976,,,4620.0,79.908
1977,,,4590.0,78.681
1978,,,4560.0,77.454
1979,,,4530.0,76.227
1980,United States,North America,4500.0,75.0
1981,,,4450.0,73.654
1982,,,4400.0,72.30799999999999
1983,,,4350.0,70.962
1984,,,4300.0,69.616
1985,,,4250.0,68.27
1986,,,4200.0,66.924
1987,,,4150.0,65.578
1988,,,4100.0,64.232
1989,,,4050.0,62.885999999999996
1990,United States,North America,4000.0,61.54
1991,,,3950.0,60.385999999999996
1992,,,3900.0,59.232
1993,,,3850.0,58.078
1994,,,3800.0,56.924
1995,,,3750.0,55.769999999999996
1996,,,3700.0,54.616
1997,,,3650.0,53.462
1998,,,3600.0,52.308
1999,,,3550.0,51.153999999999996
2000,United States,North America,3500.0,50.0
2001,,,3470.0,49.267
2002,,,3440.0,48.534
2003,,,3410.0,47.801
2004,,,3380.0,47.068
2005,,,3350.0,46.335
2006,,,3320.0,45.602000000000004
2007,,,3290.0,44.869
2008,,,3260.0,44.136
2009,,,3230.0,43.403
2010,United States,North America,3200.0,42.67
2011,,,3200.0,42.67
2012,,,3200.0,42.67
2013,,,3200.0,42.67
2014,,,3200.0,42.67
2015,,,3200.0,42.67
2016,,,3200.0,42.67
2017,,,3200.0,42.67
2018,,,3200.0,42.67
2019,,,3200.0,42.67
2020,,,3200.0,42.67
